Lille,-1.4874060,43.5475089
Rouen,,
Metz,,
Nancy,,
Starsbourg,,
Paris,,
Dijon,,
Brest,,
Rennes,,
Orléans,,
Nantes,,
Tours,,
Lyon,,
Clermont-Ferrand,,
Bordeaux,,
Toulouse,,
Toulon,,
Aix-Marseille,,
Montpellier,,
Nice,,
Grenoble,,
Sain Etienne,,
